# mode=adp T=8.0 Ts=0.01 dt=0.002 K=800 plant_ticks=3994 wall_ms=8001 plant_late_max_us=2101
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=561.1 max=607 | tick_us(incl log/gc) avg=917.6 max=4552 | Ts_us=10000
k,y,u,exec_us,tot_us
402,0.000000,-0.00000,562,614
403,0.000000,-0.00000,578,632
404,0.000000,-0.00000,558,612
405,0.000000,-0.00000,557,609
406,0.000000,-0.00000,563,612
407,0.000000,-0.00000,551,600
408,0.000000,-0.00000,554,605
409,0.000000,-0.00000,572,629
410,0.000000,-0.00000,548,3674
411,0.000000,-0.00000,567,614
412,0.000000,-0.00000,562,615
413,-0.000000,-0.00000,581,631
414,-0.000000,-0.00000,563,613
415,-0.000000,-0.00000,554,606
416,-0.000000,-0.00000,547,598
417,-0.000000,-0.00000,560,611
418,-0.000000,-0.00000,556,609
419,-0.000000,-0.00000,574,625
420,-0.000000,-0.00000,556,3681
421,-0.000000,-0.00000,571,623
422,-0.000000,-0.00000,555,607
423,-0.000000,-0.00000,584,638
424,-0.000000,-0.00000,558,607
425,-0.000000,-0.00000,556,607
426,-0.000000,-0.00000,550,602
427,-0.000000,-0.00000,552,605
428,-0.000000,-0.00000,550,599
429,-0.000000,-0.00000,581,634
430,-0.000000,-0.00000,555,3677
431,-0.000000,-0.00000,568,617
432,-0.000000,-0.00000,565,618
433,-0.000000,-0.00000,575,626
434,-0.000000,-0.00000,554,608
435,-0.000000,-0.00000,551,604
436,-0.000000,-0.00000,549,600
437,-0.000000,-0.00000,544,595
438,-0.000000,-0.00000,559,610
439,-0.000000,-0.00000,583,630
440,-0.000000,-0.00000,553,3673
441,-0.000000,-0.00000,558,612
442,-0.000000,-0.00000,543,595
443,-0.000000,-0.00000,575,627
444,-0.000000,-0.00000,543,595
445,-0.000000,-0.00000,554,603
446,-0.000000,-0.00000,548,600
447,-0.000000,-0.00000,549,598
448,-0.000000,-0.00000,556,606
449,-0.000000,-0.00000,575,625
450,-0.000000,-0.00000,552,3673
451,-0.000000,-0.00000,574,625
452,-0.000000,-0.00000,558,609
453,-0.000000,-0.00000,579,631
454,-0.000000,-0.00000,549,597
455,-0.000000,-0.00000,557,610
456,-0.000000,-0.00000,544,596
457,-0.000000,-0.00000,552,604
458,-0.000000,-0.00000,549,603
459,-0.000000,-0.00000,572,624
460,-0.000000,-0.00000,550,3667
461,-0.000000,-0.00000,567,617
462,-0.000000,-0.00000,569,621
463,-0.000000,-0.00000,571,622
464,-0.000000,-0.00000,552,604
465,-0.000000,-0.00000,551,603
466,-0.000000,-0.00000,554,604
467,-0.000000,-0.00000,553,606
468,-0.000000,-0.00000,564,611
469,-0.000000,-0.00000,579,627
470,-0.000000,-0.00000,559,3678
471,-0.000000,-0.00000,564,614
472,-0.000000,-0.00000,555,606
473,-0.000000,-0.00000,579,633
474,-0.000000,-0.00000,563,613
475,-0.000000,-0.00000,554,605
476,-0.000000,-0.00000,557,611
477,-0.000000,-0.00000,557,610
478,-0.000000,-0.00000,555,610
479,-0.000000,-0.00000,586,639
480,-0.000000,-0.00000,564,3678
481,-0.000000,-0.00000,569,618
482,-0.000000,-0.00000,561,610
483,-0.000000,-0.00000,574,626
484,-0.000000,-0.00000,551,601
485,-0.000000,-0.00000,553,606
486,-0.000000,-0.00000,558,612
487,-0.000000,-0.00000,560,614
488,-0.000000,-0.00000,561,613
489,-0.000000,-0.00000,582,636
490,-0.000000,-0.00000,553,3667
491,-0.000000,-0.00000,554,604
492,-0.000000,-0.00000,560,610
493,-0.000000,-0.00000,580,633
494,-0.000000,-0.00000,563,615
495,-0.000000,-0.00000,552,603
496,-0.000000,-0.00000,561,610
497,-0.000000,-0.00000,555,605
498,-0.000000,-0.00000,564,619
499,-0.000000,-0.00000,570,619
500,-0.000000,-0.00000,559,3670
501,-0.000000,-0.00000,568,617
502,-0.000000,-0.00000,565,618
503,-0.000000,-0.00000,585,636
504,-0.000000,-0.00000,565,617
505,-0.000000,-0.00000,563,615
506,-0.000000,-0.00000,561,610
507,-0.000000,-0.00000,556,604
508,-0.000000,-0.00000,547,597
509,-0.000000,-0.00000,587,634
510,-0.000000,-0.00000,558,3672
511,-0.000000,-0.00000,569,622
512,-0.000000,-0.00000,555,606
513,-0.000000,-0.00000,579,633
514,-0.000000,-0.00000,556,608
515,-0.000000,-0.00000,551,605
516,-0.000000,-0.00000,560,611
517,-0.000000,-0.00000,550,600
518,-0.000000,-0.00000,558,607
519,-0.000000,-0.00000,586,636
520,-0.000000,-0.00000,558,3671
521,-0.000000,-0.00000,564,616
522,-0.000000,-0.00000,565,615
523,-0.000000,-0.00000,573,624
524,-0.000000,-0.00000,566,616
525,-0.000000,-0.00000,564,615
526,-0.000000,-0.00000,557,612
527,-0.000000,-0.00000,558,608
528,-0.000000,-0.00000,547,598
529,-0.000000,0.00000,587,640
530,-0.000000,0.00000,560,3672
531,-0.000000,0.00000,557,610
532,-0.000000,0.00000,569,616
533,-0.000000,0.00000,571,625
534,-0.000000,0.00000,561,611
535,-0.000000,0.00000,554,607
536,-0.000000,0.00000,561,615
537,-0.000000,0.00000,560,609
538,-0.000000,0.00000,553,607
539,-0.000000,0.00000,575,627
540,-0.000000,0.00000,569,3676
541,-0.000000,0.00000,570,622
542,-0.000000,0.00000,559,613
543,-0.000000,0.00000,573,624
544,-0.000000,0.00000,552,605
545,-0.000000,0.00000,546,598
546,-0.000000,0.00000,556,608
547,-0.000000,0.00000,550,598
548,-0.000000,0.00000,567,619
549,-0.000000,0.00000,572,623
550,-0.000000,0.00000,558,3666
551,-0.000000,0.00000,565,617
552,-0.000000,0.00000,562,612
553,-0.000000,0.00000,582,634
554,-0.000000,0.00000,558,607
555,0.000000,0.00000,549,602
556,0.000000,0.00000,546,596
557,0.000000,0.00000,554,602
558,0.000000,0.00000,551,602
559,0.000000,0.00000,572,625
560,0.000000,0.00000,558,3669
561,0.000000,0.00000,556,607
562,0.000000,0.00000,551,603
563,0.000000,0.00000,582,633
564,0.000000,0.00000,555,606
565,0.000000,0.00000,553,607
566,0.000000,0.00000,541,593
567,0.000000,0.00000,544,596
568,0.000000,0.00000,557,606
569,0.000000,0.00000,573,625
570,0.000000,0.00000,553,3658
571,0.000000,0.00000,559,609
572,0.000000,0.00000,548,596
573,0.000000,0.00000,578,631
574,0.000000,0.00000,554,601
575,0.000000,0.00000,558,609
576,0.000000,0.00000,551,603
577,0.000000,0.00000,548,599
578,0.000000,0.00000,548,599
579,0.000000,0.00000,582,635
580,0.000000,0.00000,569,3674
581,0.000000,0.00000,566,618
582,0.000000,0.00000,565,619
583,0.000000,0.00000,587,644
584,0.000000,0.00000,554,604
585,0.000000,0.00000,565,616
586,0.000000,0.00000,560,612
587,0.000000,0.00000,560,613
588,0.000000,0.00000,548,599
589,0.000000,0.00000,584,636
590,0.000000,0.00000,554,3660
591,0.000000,0.00000,572,625
592,0.000000,0.00000,561,611
593,0.000000,0.00000,577,628
594,0.000000,0.00000,555,606
595,0.000000,0.00000,552,605
596,0.000000,0.00000,563,614
597,0.000000,0.00000,563,614
598,0.000000,0.00000,555,607
599,0.000000,0.00000,583,631
600,0.000000,0.00000,560,3664
601,0.000000,0.00000,558,609
602,0.000000,0.00000,565,615
603,0.000000,0.00000,576,629
604,0.000000,0.00000,549,600
605,0.000000,0.00000,552,602
606,0.000000,0.00000,547,598
607,0.000000,0.00000,559,607
608,0.000000,0.00000,557,611
609,0.000000,0.00000,588,637
610,0.000000,0.00000,561,3663
611,0.000000,0.00000,565,616
612,0.000000,0.00000,555,608
613,0.000000,0.00000,579,633
614,0.000000,0.00000,563,611
615,0.000000,0.00000,554,605
616,0.000000,0.00000,564,618
617,0.000000,0.00000,553,603
618,0.000000,0.00000,558,611
619,0.000000,0.00000,566,616
620,0.000000,0.00000,553,3651
621,0.000000,0.00000,566,616
622,0.000000,0.00000,561,612
623,0.000000,0.00000,581,630
624,0.000000,0.00000,556,609
625,0.000000,0.00000,559,609
626,0.000000,0.00000,570,621
627,0.000000,0.00000,552,606
628,0.000000,0.00000,548,599
629,0.000000,0.00000,571,624
630,0.000000,0.00000,552,3649
631,0.000000,0.00000,567,618
632,0.000000,0.00000,542,593
633,0.000000,0.00000,580,632
634,0.000000,0.00000,555,609
635,0.000000,0.00000,558,609
636,0.000000,0.00000,553,604
637,0.000000,0.00000,549,599
638,0.000000,0.00000,558,610
639,0.000000,0.00000,586,637
640,0.000000,0.00000,559,3658
641,0.000000,0.00000,564,618
642,0.000000,0.00000,568,618
643,0.000000,0.00000,578,627
644,0.000000,0.00000,546,595
645,0.000000,0.00000,561,610
646,0.000000,0.00000,551,602
647,0.000000,0.00000,553,604
648,0.000000,0.00000,554,605
649,0.000000,0.00000,571,623
650,0.000000,0.00000,560,3660
651,0.000000,0.00000,557,607
652,0.000000,0.00000,563,614
653,0.000000,0.00000,577,628
654,0.000000,0.00000,551,603
655,0.000000,0.00000,552,603
656,0.000000,0.00000,552,606
657,0.000000,0.00000,551,603
658,0.000000,0.00000,558,610
659,0.000000,0.00000,581,633
660,0.000000,0.00000,548,3646
661,0.000000,0.00000,558,609
662,0.000000,0.00000,566,618
663,0.000000,0.00000,568,618
664,0.000000,0.00000,556,603
665,0.000000,0.00000,560,613
666,0.000000,0.00000,557,607
667,0.000000,0.00000,554,607
668,0.000000,0.00000,548,601
669,0.000000,0.00000,573,622
670,0.000000,0.00000,564,3662
671,0.000000,-0.00000,556,605
672,0.000000,-0.00000,571,619
673,0.000000,-0.00000,577,631
674,0.000000,-0.00000,555,606
675,0.000000,-0.00000,561,612
676,0.000000,-0.00000,550,601
677,0.000000,-0.00000,550,599
678,0.000000,-0.00000,558,611
679,0.000000,-0.00000,578,629
680,0.000000,-0.00000,545,3638
681,0.000000,-0.00000,564,614
682,0.000000,-0.00000,557,608
683,0.000000,-0.00000,577,631
684,0.000000,-0.00000,551,604
685,0.000000,-0.00000,554,603
686,0.000000,-0.00000,558,607
687,0.000000,-0.00000,554,605
688,0.000000,-0.00000,555,604
689,0.000000,-0.00000,580,630
690,0.000000,-0.00000,564,3656
691,0.000000,-0.00000,556,608
692,0.000000,-0.00000,560,611
693,0.000000,-0.00000,584,635
694,0.000000,-0.00000,547,600
695,0.000000,-0.00000,551,601
696,0.000000,-0.00000,548,597
697,0.000000,-0.00000,567,615
698,-0.000000,-0.00000,555,606
699,-0.000000,-0.00000,578,630
700,-0.000000,-0.00000,560,3655
701,-0.000000,-0.00000,562,613
