# mode=rbf T=30.0 Ts=0.01 dt=0.002 K=3000 plant_ticks=15018 wall_ms=30050 plant_late_max_us=3548
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=2922.9 max=2993 | tick_us(incl log/gc) avg=3505.9 max=8401 | Ts_us=10000
k,y,u,exec_us,tot_us
358,0.339759,10.06412,2921,2980
359,0.344588,10.18343,2923,2981
360,0.349261,10.29400,2902,8344
361,0.352886,10.37537,2959,3019
362,0.358136,10.48431,2929,2986
363,0.362336,10.56400,2977,3034
364,0.366377,10.63095,2915,2971
365,0.370258,10.68529,2930,2991
366,0.373979,10.72666,2916,2975
367,0.377541,10.75482,2926,2983
368,0.380943,10.76967,2921,2979
369,0.384186,10.77129,2907,2967
370,0.387269,10.75985,2923,8362
371,0.389621,10.70727,2939,2997
372,0.392957,10.70076,2932,2993
373,0.395563,10.65380,2957,3016
374,0.398009,10.59437,2908,2970
375,0.400296,10.52432,2901,2960
376,0.402423,10.44440,2906,2968
377,0.404391,10.35527,2924,2988
378,0.406199,10.25755,2903,2963
379,0.407847,10.15190,2902,2959
380,0.409333,10.03889,2910,8350
381,0.410406,9.87314,2944,3002
382,0.411821,9.79732,2931,2989
383,0.412820,9.66723,2966,3023
384,0.413655,9.52974,2920,2979
385,0.414324,9.38766,2910,2966
386,0.414828,9.24162,2931,2990
387,0.415164,9.09214,2910,2966
388,0.415333,8.93968,2925,2982
389,0.415333,8.78466,2923,2978
390,0.415163,8.62741,2919,8361
391,0.414904,8.40325,2933,2987
392,0.414311,8.31443,2925,2983
393,0.413627,8.15362,2981,3039
394,0.412771,7.98760,2909,2966
395,0.411742,7.81957,2917,2976
396,0.410540,7.64940,2925,2983
397,0.409166,7.47669,2906,2965
398,0.407619,7.30103,2917,2975
399,0.405899,7.12200,2905,2962
400,0.404009,6.93920,2913,8354
401,0.402373,6.67203,2925,2984
402,0.399715,6.57269,2907,2967
403,0.397315,6.37929,2977,3033
404,0.394746,6.17670,2910,2970
405,0.392010,5.96997,2901,2958
406,0.389109,5.75955,2914,2973
407,0.386044,5.54585,2924,2979
408,0.382817,5.32921,2931,2989
409,0.379430,5.11017,2922,2982
410,0.375883,4.88918,2919,8357
411,0.372933,4.57241,2934,2992
412,0.368320,4.45997,2917,2982
413,0.364306,4.23835,2978,3033
414,0.360140,4.01071,2905,2964
415,0.355822,3.78389,2912,2973
416,0.351356,3.55860,2915,2975
417,0.346742,3.33498,2928,2989
418,0.341982,3.11327,2913,2970
419,0.337078,2.89357,2917,2975
420,0.332031,2.67608,2923,8358
421,0.327893,2.35223,2947,3006
422,0.321517,2.26921,2921,2978
423,0.316053,2.06107,2969,3024
424,0.310452,1.84837,2919,2976
425,0.304717,1.63934,2911,2970
426,0.298848,1.43449,2923,2978
427,0.292849,1.23367,2919,2978
428,0.286720,1.03689,2901,2959
429,0.280463,0.84407,2908,2968
430,0.274081,0.65529,2910,8342
431,0.268885,0.35218,2948,3008
432,0.260945,0.31450,2944,3004
433,0.254195,0.13977,2974,3026
434,0.247325,-0.03922,2929,2984
435,0.240339,-0.21293,2910,2969
436,0.233238,-0.38102,2923,2981
437,0.226024,-0.54375,2931,2988
438,0.218700,-0.70149,2918,2981
439,0.211267,-0.85440,2915,2970
440,0.203728,-1.00276,2917,8352
441,0.197622,-1.26948,2956,3014
442,0.188342,-1.26019,2941,2997
443,0.180499,-1.39401,2970,3029
444,0.172560,-1.53282,2932,2989
445,0.164527,-1.66684,2921,2977
446,0.156403,-1.79617,2925,2983
447,0.148193,-1.92138,2928,2987
448,0.139897,-2.04320,2919,2973
449,0.131521,-2.16214,2927,2983
450,0.123068,-2.27889,2912,8343
451,0.116251,-2.51353,2941,3000
452,0.105941,-2.48445,2917,2977
453,0.097276,-2.59588,2979,3035
454,0.088547,-2.71520,2913,2971
455,0.079758,-2.83489,2916,2977
456,0.070915,-2.95559,2918,2979
457,0.062021,-3.07821,2915,2973
458,0.053080,-3.20373,2915,2973
459,0.044096,-3.33294,2899,2956
460,0.035075,-3.46664,2910,8345
461,0.027833,-3.70703,2936,2990
462,0.016935,-3.73060,2922,2976
463,0.007826,-3.87800,2969,3030
464,-0.001305,-4.03698,2911,2973
465,-0.010452,-4.20127,2914,2973
466,-0.019612,-4.37008,2902,2962
467,-0.028780,-4.54285,2905,2964
468,-0.037951,-4.71886,2904,2963
469,-0.047123,-4.89737,2898,2955
470,-0.056291,-5.07756,2927,8357
471,-0.063620,-5.33488,2929,2988
472,-0.074601,-5.42422,2917,2976
473,-0.083735,-5.60372,2966,3028
474,-0.092852,-5.78725,2910,2967
475,-0.101947,-5.96934,2903,2959
476,-0.111017,-6.14941,2920,2976
477,-0.120058,-6.32729,2915,2972
478,-0.129066,-6.50281,2927,2981
479,-0.138039,-6.67595,2904,2961
480,-0.146973,-6.84661,2915,8343
481,-0.154089,-7.07272,2933,2994
482,-0.164707,-7.16833,2918,2976
483,-0.173501,-7.33034,2954,3014
484,-0.182240,-7.49270,2918,2975
485,-0.190920,-7.65218,2898,2955
486,-0.199537,-7.80871,2905,2965
487,-0.208087,-7.96254,2926,2983
488,-0.216565,-8.11397,2928,2987
489,-0.224966,-8.26351,2918,2975
490,-0.233285,-8.41198,2926,8360
491,-0.239878,-8.60001,2951,3006
492,-0.249657,-8.70363,2936,2993
493,-0.257699,-8.85613,2969,3031
494,-0.265638,-9.01500,2924,2981
495,-0.273469,-9.18168,2918,2978
496,-0.281185,-9.35845,2916,2976
497,-0.288781,-9.54719,2925,2987
498,-0.296252,-9.74908,2921,2975
499,-0.303591,-9.96418,2919,2977
500,-0.310795,-10.19139,2919,8345
501,-0.316457,-10.43363,2940,2998
502,-0.324776,-10.66728,2947,3000
503,-0.331545,-10.91335,2988,3046
504,-0.338162,-11.15813,2916,2977
505,-0.344623,-11.39731,2924,2984
506,-0.350926,-11.62705,2936,2997
507,-0.357071,-11.84395,2905,2963
508,-0.363054,-12.04527,2917,2974
509,-0.368875,-12.22898,2907,2969
510,-0.374535,-12.39378,2926,8350
511,-0.378945,-12.53815,2927,2986
512,-0.385365,-12.66302,2929,2985
513,-0.390537,-12.77130,2952,3010
514,-0.395546,-12.86279,2920,2978
515,-0.400392,-12.93905,2914,2974
516,-0.405078,-13.00176,2909,2966
517,-0.409601,-13.05255,2917,2977
518,-0.413962,-13.09278,2908,2968
519,-0.418162,-13.12351,2913,2973
520,-0.422200,-13.14548,2917,8343
521,-0.425314,-13.14722,2939,2995
522,-0.429790,-13.16280,2923,2984
523,-0.433341,-13.16041,2973,3032
524,-0.436728,-13.14887,2923,2979
525,-0.439952,-13.12813,2921,2980
526,-0.443012,-13.09775,2922,2977
527,-0.445906,-13.05732,2929,2986
528,-0.448635,-13.00648,2915,2975
529,-0.451198,-12.94492,2913,2976
530,-0.453594,-12.87249,2923,8346
531,-0.455389,-12.76348,2947,3007
532,-0.457880,-12.69502,2942,3001
533,-0.459769,-12.59125,2977,3033
534,-0.461488,-12.47610,2907,2964
535,-0.463035,-12.35101,2901,2960
536,-0.464409,-12.21671,2915,2973
537,-0.465610,-12.07386,2916,2976
538,-0.466636,-11.92330,2918,2977
539,-0.467486,-11.76596,2904,2960
540,-0.468160,-11.60278,2925,8345
541,-0.468570,-11.39614,2931,2987
542,-0.468972,-11.26475,2918,2974
543,-0.469108,-11.09129,2966,3023
544,-0.469063,-10.91397,2916,2974
545,-0.468836,-10.73506,2903,2957
546,-0.468427,-10.55494,2918,2978
547,-0.467834,-10.37376,2906,2963
548,-0.467058,-10.19126,2911,2971
549,-0.466098,-10.00700,2902,2960
550,-0.464955,-9.82016,2908,8324
551,-0.463909,-9.57431,2942,2998
552,-0.462120,-9.44158,2925,2985
553,-0.460429,-9.24315,2968,3026
554,-0.458558,-9.03503,2910,2968
555,-0.456506,-8.81982,2927,2989
556,-0.454276,-8.59724,2911,2967
557,-0.451870,-8.36729,2901,2958
558,-0.449288,-8.13011,2915,2976
559,-0.446534,-7.88631,2898,2953
560,-0.443609,-7.63654,2924,8343
561,-0.441147,-7.31525,2940,2996
562,-0.437254,-7.13627,2930,2991
563,-0.433828,-6.87572,2952,3011
564,-0.430238,-6.60787,2896,2955
565,-0.426488,-6.33957,2919,2974
566,-0.422578,-6.07192,2915,2968
567,-0.418511,-5.80534,2919,2974
568,-0.414289,-5.54031,2930,2990
569,-0.409913,-5.27711,2923,2982
570,-0.405385,-5.01612,2940,8361
571,-0.401655,-4.67019,2940,2997
572,-0.395881,-4.52310,2914,2969
573,-0.390908,-4.27027,2978,3035
574,-0.385790,-4.01300,2910,2966
575,-0.380528,-3.76077,2909,2968
576,-0.375124,-3.51387,2925,2978
577,-0.369580,-3.27176,2935,2992
578,-0.363898,-3.03415,2928,2986
579,-0.358079,-2.80078,2910,2970
580,-0.352125,-2.57161,2910,8328
581,-0.347266,-2.24194,2947,3007
582,-0.339819,-2.15387,2929,2986
583,-0.333470,-1.93655,2966,3025
584,-0.326993,-1.71403,2931,2991
585,-0.320389,-1.49858,2900,2957
586,-0.313661,-1.29021,2922,2979
587,-0.306810,-1.08792,2906,2961
588,-0.299839,-0.89112,2919,2978
589,-0.292750,-0.69934,2924,2983
590,-0.285544,-0.51239,2914,8327
591,-0.279697,-0.21483,2940,2999
592,-0.270791,-0.18500,2924,2983
593,-0.263249,-0.01107,2979,3038
594,-0.255598,0.16882,2919,2982
595,-0.247842,0.34068,2909,2971
596,-0.239982,0.50482,2914,2971
597,-0.232023,0.66234,2914,2973
598,-0.223965,0.81417,2912,2971
599,-0.215812,0.96075,2915,2976
600,-0.207566,1.10250,2907,8321
601,-0.200905,1.35986,2951,3010
602,-0.190809,1.34043,2930,2991
603,-0.182302,1.46923,2963,3021
604,-0.173714,1.60413,2913,2974
605,-0.165049,1.73254,2903,2960
606,-0.156308,1.85504,2904,2965
607,-0.147497,1.97289,2904,2960
608,-0.138619,2.08728,2913,2968
609,-0.129676,2.19909,2916,2976
610,-0.120674,2.30931,2905,8322
611,-0.113432,2.53607,2954,3011
612,-0.102505,2.50191,2922,2979
613,-0.093346,2.61133,2972,3029
614,-0.084143,2.73109,2908,2969
615,-0.074901,2.85271,2915,2976
616,-0.065622,2.97703,2904,2966
617,-0.056313,3.10536,2913,2972
